company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,1,0.09523809523809523,0.171875,0.00324956770054996,,,,-0.009523809523809525,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.53125,937,398,42,64,20,"[[3, 2, 1, 0, 1, 0], [6, 8, 0, 1, 0, 4], [6, 2, 0, 1, 0, 1], [3, 2, 0, 0, 1, 2], [7, 5, 0, 0, 0, 3], [3, 2, 0, 0, 0, 0]]","[[0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0], [0.3157894736842105, 0.42105263157894735, 0.0, 0.05263157894736842, 0.0, 0.21052631578947367], [0.6, 0.2, 0.0, 0.1, 0.0, 0.1], [0.375, 0.25, 0.0, 0.0, 0.125, 0.25], [0.4666666666666667, 0.3333333333333333, 0.0, 0.0, 0.0, 0.2], [0.6, 0.4, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.585925281047821, 0.7090515494346619, 0.6953708529472351, 0.7227322459220886, 0.6132866740226746]"
ABB,Industrial Goods,BiLSTM,multiclass,1,0.010582010582010581,0.03125,0.011837562546133995,,,,0.0,0.72,0.5625,1.0,0.5625,937,398,42,64,12,"[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 17], [0, 0, 0, 0, 0, 6], [0, 0, 0, 0, 1, 14], [0, 0, 0, 0, 0, 19], [0, 0, 0, 0, 0, 2]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.10526315789473684, 0.8947368421052632], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.9333333333333333], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3123113214969635, 0.6816901564598083, 0.5175217986106873, 0.4491182863712311, 0.42175689339637756]"
ABBV,Healthcare,BiLSTM,multiclass,1,0.16785502079619727,0.234375,0.005350653547793627,,,,0.21057989315866538,0.6575342465753424,0.6153846153846154,0.7058823529411765,0.609375,856,331,42,64,13,"[[4, 0, 0, 0, 4, 3], [6, 2, 1, 0, 5, 1], [2, 0, 0, 0, 1, 1], [2, 0, 0, 0, 2, 1], [6, 0, 0, 0, 2, 11], [2, 0, 0, 0, 1, 7]]","[[0.36363636363636365, 0.0, 0.0, 0.0, 0.36363636363636365, 0.2727272727272727], [0.4, 0.13333333333333333, 0.06666666666666667, 0.0, 0.3333333333333333, 0.06666666666666667], [0.5, 0.0, 0.0, 0.0, 0.25, 0.25], [0.4, 0.0, 0.0, 0.0, 0.4, 0.2], [0.3157894736842105, 0.0, 0.0, 0.0, 0.10526315789473684, 0.5789473684210527], [0.2, 0.0, 0.0, 0.0, 0.1, 0.7]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7227322459220886, 0.7227322459220886, 0.5722445845603943, 0.531202495098114, 0.5722445845603943]"
AEP,Utilities,BiLSTM,multiclass,1,0.1086996336996337,0.140625,-0.002607588190585375,,,,0.0821440096816907,0.14285714285714285,0.75,0.07894736842105263,0.4375,937,398,42,64,17,"[[1, 2, 1, 1, 0, 0], [4, 3, 3, 0, 0, 0], [2, 5, 4, 0, 0, 0], [11, 1, 3, 0, 0, 0], [5, 3, 8, 2, 1, 0], [0, 2, 2, 0, 0, 0]]","[[0.2, 0.4, 0.2, 0.2, 0.0, 0.0], [0.4, 0.3, 0.3, 0.0, 0.0, 0.0], [0.18181818181818182, 0.45454545454545453, 0.36363636363636365, 0.0, 0.0, 0.0], [0.7333333333333333, 0.06666666666666667, 0.2, 0.0, 0.0, 0.0], [0.2631578947368421, 0.15789473684210525, 0.42105263157894735, 0.10526315789473684, 0.05263157894736842, 0.0], [0.0, 0.5, 0.5, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6953708529472351, 0.5038411021232605, 0.7227322459220886, 0.6953708529472351, 0.7227322459220886]"
AMGN,Healthcare,BiLSTM,multiclass,1,0.07202661826981245,0.109375,-0.01515105739235878,,,,0.06753674153942565,0.19047619047619047,0.6666666666666666,0.1111111111111111,0.46875,937,398,42,64,12,"[[3, 3, 0, 0, 0, 0], [12, 3, 0, 0, 0, 1], [5, 0, 0, 1, 0, 0], [7, 2, 0, 0, 0, 0], [12, 2, 0, 0, 1, 2], [5, 3, 1, 0, 1, 0]]","[[0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.75, 0.1875, 0.0, 0.0, 0.0, 0.0625], [0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0], [0.7777777777777778, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0], [0.7058823529411765, 0.11764705882352941, 0.0, 0.0, 0.058823529411764705, 0.11764705882352941], [0.5, 0.3, 0.1, 0.0, 0.1, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.46279898285865784, 0.585925281047821, 0.5448831915855408, 0.39439550042152405, 0.32599201798439026]"
AMZN,Services,BiLSTM,multiclass,1,0.14686413614681867,0.171875,-9.217829210683703e-05,,,,-0.04592498424680944,0.651685393258427,0.5370370370370371,0.8285714285714286,0.515625,937,398,42,64,13,"[[0, 1, 0, 2, 1, 0], [0, 1, 1, 7, 5, 1], [0, 0, 1, 7, 1, 1], [0, 0, 1, 3, 2, 0], [0, 2, 0, 11, 4, 0], [0, 0, 3, 6, 1, 2]]","[[0.0, 0.25, 0.0, 0.5, 0.25, 0.0], [0.0, 0.06666666666666667, 0.06666666666666667, 0.4666666666666667, 0.3333333333333333, 0.06666666666666667], [0.0, 0.0, 0.1, 0.7, 0.1, 0.1], [0.0, 0.0, 0.16666666666666666, 0.5, 0.3333333333333333, 0.0], [0.0, 0.11764705882352941, 0.0, 0.6470588235294118, 0.23529411764705882, 0.0], [0.0, 0.0, 0.25, 0.5, 0.08333333333333333, 0.16666666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3123113214969635, 0.42175689339637756, 0.339672714471817, 0.531202495098114, 0.5038411021232605]"
BA,Industrial Goods,BiLSTM,multiclass,1,0.13447832360875836,0.140625,-0.002816061722114682,,,,0.3440455593940656,0.37209302325581395,1.0,0.22857142857142856,0.578125,937,398,42,64,13,"[[1, 3, 0, 0, 0, 0], [8, 5, 1, 0, 0, 0], [8, 2, 1, 0, 0, 0], [7, 0, 0, 1, 1, 1], [12, 2, 2, 0, 1, 4], [2, 2, 0, 0, 0, 0]]","[[0.25, 0.75, 0.0, 0.0, 0.0, 0.0], [0.5714285714285714, 0.35714285714285715, 0.07142857142857142, 0.0, 0.0, 0.0], [0.7272727272727273, 0.18181818181818182, 0.09090909090909091, 0.0, 0.0, 0.0], [0.7, 0.0, 0.0, 0.1, 0.1, 0.1], [0.5714285714285714, 0.09523809523809523, 0.09523809523809523, 0.0, 0.047619047619047616, 0.19047619047619047], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7227322459220886, 0.5585638880729675, 0.531202495098114, 0.531202495098114, 0.6543287634849548]"
BAC,Financial,BiLSTM,multiclass,1,0.11471861471861473,0.125,-0.000759925926104188,,,,0.18497841147451874,0.5517241379310345,0.5161290322580645,0.5925925925925926,0.59375,937,398,42,64,13,"[[3, 0, 1, 1, 0, 0], [12, 0, 2, 1, 3, 2], [4, 0, 0, 2, 1, 5], [1, 0, 0, 1, 0, 3], [5, 0, 1, 4, 2, 1], [3, 1, 0, 0, 3, 2]]","[[0.6, 0.0, 0.2, 0.2, 0.0, 0.0], [0.6, 0.0, 0.1, 0.05, 0.15, 0.1], [0.3333333333333333, 0.0, 0.0, 0.16666666666666666, 0.08333333333333333, 0.4166666666666667], [0.2, 0.0, 0.0, 0.2, 0.0, 0.6], [0.38461538461538464, 0.0, 0.07692307692307693, 0.3076923076923077, 0.15384615384615385, 0.07692307692307693], [0.3333333333333333, 0.1111111111111111, 0.0, 0.0, 0.3333333333333333, 0.2222222222222222]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5585638880729675, 0.49016037583351135, 0.39439550042152405, 0.6406480669975281, 0.3123113214969635]"
BBL,Basic Matierials,BiLSTM,multiclass,1,0.16503866503866504,0.203125,0.009671878069639206,,,,0.06570257569201882,0.5151515151515151,0.4146341463414634,0.68,0.5,937,398,42,64,12,"[[6, 1, 0, 0, 2, 11], [4, 0, 0, 3, 1, 4], [3, 1, 0, 0, 1, 2], [0, 0, 0, 1, 0, 0], [2, 0, 1, 0, 1, 8], [4, 1, 0, 1, 1, 5]]","[[0.3, 0.05, 0.0, 0.0, 0.1, 0.55], [0.3333333333333333, 0.0, 0.0, 0.25, 0.08333333333333333, 0.3333333333333333], [0.42857142857142855, 0.14285714285714285, 0.0, 0.0, 0.14285714285714285, 0.2857142857142857], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.16666666666666666, 0.0, 0.08333333333333333, 0.0, 0.08333333333333333, 0.6666666666666666], [0.3333333333333333, 0.08333333333333333, 0.0, 0.08333333333333333, 0.08333333333333333, 0.4166666666666667]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7090515494346619, 0.6953708529472351, 0.5996059775352478, 0.6816901564598083, 0.5038411021232605]"
BCH,Financial,BiLSTM,multiclass,1,0.14148357915092194,0.140625,0.007270462810993195,,,,-0.06643282473893375,0.46153846153846156,0.39473684210526316,0.5555555555555556,0.453125,937,398,42,64,13,"[[1, 2, 0, 0, 0, 1], [3, 1, 0, 2, 4, 10], [4, 2, 1, 0, 5, 1], [3, 0, 0, 1, 1, 3], [2, 2, 4, 0, 3, 5], [0, 1, 0, 0, 0, 2]]","[[0.25, 0.5, 0.0, 0.0, 0.0, 0.25], [0.15, 0.05, 0.0, 0.1, 0.2, 0.5], [0.3076923076923077, 0.15384615384615385, 0.07692307692307693, 0.0, 0.38461538461538464, 0.07692307692307693], [0.375, 0.0, 0.0, 0.125, 0.125, 0.375], [0.125, 0.125, 0.25, 0.0, 0.1875, 0.3125], [0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7227322459220886, 0.7227322459220886, 0.5996059775352478, 0.7227322459220886, 0.49016037583351135]"
